deployment-mechanism,trial-number,start-time,wall-time-seconds,inference-time-seconds,overhead-time-seconds
native,1,2025-04-17T23:43:03.357209+00:00,11.87,10.95,0.92
docker,1,2025-04-17T23:43:15.245632+00:00,12.1,9.71,2.39
native,2,2025-04-17T23:43:27.502439+00:00,11.08,10.04,1.04
native,3,2025-04-17T23:43:38.599450+00:00,11.23,10.14,1.09
docker,2,2025-04-17T23:43:49.837647+00:00,12.52,9.94,2.58
wasm_aot,1,2025-04-17T23:44:02.521169+00:00,11.89,10.73,1.16
native,4,2025-04-17T23:44:14.426163+00:00,11.32,10.23,1.09
native,5,2025-04-17T23:44:25.758480+00:00,11.38,10.25,1.13
docker,3,2025-04-17T23:44:37.152215+00:00,12.46,9.94,2.52
docker,4,2025-04-17T23:44:49.780462+00:00,12.5,10.05,2.45
wasm_interpreted,1,2025-04-17T23:45:02.452720+00:00,272.3,270.9,1.4
native,6,2025-04-17T23:49:34.760152+00:00,10.3,9.38,0.92
wasm_aot,2,2025-04-17T23:49:45.076240+00:00,11.28,10.15,1.13
docker,5,2025-04-17T23:49:56.364422+00:00,12.08,9.67,2.41
wasm_aot,3,2025-04-17T23:50:08.614978+00:00,11.61,10.48,1.13
docker,6,2025-04-17T23:50:20.236949+00:00,12.32,9.78,2.54
wasm_aot,4,2025-04-17T23:50:32.717088+00:00,11.8,10.64,1.16
wasm_aot,5,2025-04-17T23:50:44.533624+00:00,12.06,10.83,1.23
docker,7,2025-04-17T23:50:56.604395+00:00,12.33,9.84,2.49
docker,8,2025-04-17T23:51:09.104742+00:00,12.31,9.89,2.42
wasm_interpreted,2,2025-04-17T23:51:21.574761+00:00,272.1,270.73,1.37
wasm_aot,6,2025-04-17T23:55:53.686193+00:00,10.92,9.89,1.03
docker,9,2025-04-17T23:56:04.621267+00:00,11.91,9.57,2.34
wasm_aot,7,2025-04-17T23:56:16.689397+00:00,11.56,10.45,1.11
wasm_interpreted,3,2025-04-17T23:56:28.258422+00:00,272.15,270.8,1.35
wasm_interpreted,4,2025-04-18T00:01:00.419496+00:00,271.7,270.51,1.19
docker,10,2025-04-18T00:05:32.125112+00:00,11.19,9.02,2.17
wasm_interpreted,5,2025-04-18T00:05:43.464182+00:00,271.64,270.42,1.22
native,7,2025-04-18T00:10:15.109846+00:00,10.2,9.3,0.9
native,8,2025-04-18T00:10:25.322509+00:00,10.65,9.64,1.01
wasm_interpreted,6,2025-04-18T00:10:35.988995+00:00,272.14,270.79,1.35
docker,11,2025-04-18T00:15:08.138591+00:00,11.18,9.03,2.15
docker,12,2025-04-18T00:15:19.457201+00:00,11.46,9.24,2.22
docker,13,2025-04-18T00:15:31.068719+00:00,11.64,9.39,2.25
wasm_interpreted,7,2025-04-18T00:15:42.868833+00:00,272.03,270.73,1.3
wasm_interpreted,8,2025-04-18T00:20:14.910236+00:00,271.73,270.52,1.21
native,9,2025-04-18T00:24:46.648286+00:00,10.14,9.25,0.89
wasm_aot,8,2025-04-18T00:24:56.796289+00:00,11.13,10.03,1.1
native,10,2025-04-18T00:25:07.943960+00:00,10.67,9.64,1.03
docker,14,2025-04-18T00:25:18.620440+00:00,12.18,9.78,2.4
wasm_interpreted,9,2025-04-18T00:25:30.965333+00:00,271.96,270.65,1.31
wasm_aot,9,2025-04-18T00:30:02.941335+00:00,10.86,9.85,1.01
wasm_aot,10,2025-04-18T00:30:13.811963+00:00,11.2,10.11,1.09
wasm_interpreted,10,2025-04-18T00:30:25.018667+00:00,272.07,270.74,1.33
wasm_aot,11,2025-04-18T00:34:57.095012+00:00,10.98,9.98,1.0
wasm_interpreted,11,2025-04-18T00:35:08.088411+00:00,271.86,270.57,1.29
native,11,2025-04-18T00:39:39.961308+00:00,10.08,9.18,0.9
wasm_interpreted,12,2025-04-18T00:39:50.048976+00:00,272.06,270.79,1.27
native,12,2025-04-18T00:44:22.123544+00:00,10.07,9.18,0.89
wasm_interpreted,13,2025-04-18T00:44:32.205572+00:00,271.92,270.64,1.28
wasm_aot,12,2025-04-18T00:49:04.134184+00:00,10.71,9.72,0.99
wasm_interpreted,14,2025-04-18T00:49:14.852413+00:00,271.82,270.56,1.26
wasm_interpreted,15,2025-04-18T00:53:46.687226+00:00,271.7,270.53,1.17
docker,15,2025-04-18T00:58:18.393973+00:00,11.37,9.19,2.18
native,13,2025-04-18T00:58:29.921634+00:00,10.52,9.59,0.93
wasm_interpreted,16,2025-04-18T00:58:40.455223+00:00,271.98,270.63,1.35
docker,16,2025-04-18T01:03:12.444106+00:00,11.28,9.14,2.14
native,14,2025-04-18T01:03:23.891646+00:00,10.46,9.52,0.94
wasm_aot,13,2025-04-18T01:03:34.358497+00:00,11.37,10.24,1.13
wasm_aot,14,2025-04-18T01:03:45.741662+00:00,11.63,10.46,1.17
native,15,2025-04-18T01:03:57.389773+00:00,10.94,9.89,1.05
native,16,2025-04-18T01:04:08.345218+00:00,11.32,10.23,1.09
native,17,2025-04-18T01:04:19.681780+00:00,11.35,10.24,1.11
wasm_aot,15,2025-04-18T01:04:31.038791+00:00,12.09,10.85,1.24
docker,17,2025-04-18T01:04:43.139245+00:00,12.7,10.14,2.56
docker,18,2025-04-18T01:04:56.006223+00:00,12.97,10.07,2.9
wasm_aot,16,2025-04-18T01:05:09.169928+00:00,12.0,10.86,1.14
wasm_interpreted,17,2025-04-18T01:05:21.180098+00:00,272.15,270.69,1.46
wasm_aot,17,2025-04-18T01:09:53.344817+00:00,10.76,9.76,1.0
docker,19,2025-04-18T01:10:04.115416+00:00,11.75,9.34,2.41
docker,20,2025-04-18T01:10:16.029684+00:00,11.73,9.41,2.32
wasm_aot,18,2025-04-18T01:10:27.917706+00:00,11.68,10.56,1.12
wasm_interpreted,18,2025-04-18T01:10:39.614018+00:00,271.86,270.48,1.38
wasm_aot,19,2025-04-18T01:15:11.486951+00:00,10.89,9.88,1.01
wasm_aot,20,2025-04-18T01:15:22.387991+00:00,11.07,9.97,1.1
native,18,2025-04-18T01:15:33.467570+00:00,10.85,9.82,1.03
wasm_interpreted,19,2025-04-18T01:15:44.325852+00:00,271.84,270.46,1.38
native,19,2025-04-18T01:20:16.172703+00:00,10.24,9.33,0.91
wasm_interpreted,20,2025-04-18T01:20:26.424081+00:00,272.12,270.85,1.27
native,20,2025-04-18T01:24:58.555079+00:00,10.02,9.14,0.88
