deployment-mechanism,trial-number,start-time,wall-time-seconds,inference-time-seconds,overhead-time-seconds
wasm_aot,19,2025-04-17T21:43:04.392092+00:00,7.89,6.9,0.99
docker,18,2025-04-17T21:43:12.288844+00:00,8.68,6.34,2.34
wasm_interpreted,17,2025-04-17T21:43:21.122702+00:00,268.99,267.83,1.16
wasm_aot,20,2025-04-17T21:47:50.124149+00:00,7.5,6.58,0.92
wasm_interpreted,18,2025-04-17T21:47:57.633404+00:00,268.74,267.61,1.13
native,20,2025-04-17T21:52:26.384677+00:00,6.98,6.16,0.82
docker,19,2025-04-17T21:52:33.374140+00:00,8.35,6.26,2.09
wasm_interpreted,19,2025-04-17T21:52:41.859667+00:00,268.77,267.64,1.13
wasm_interpreted,20,2025-04-17T21:57:10.644540+00:00,268.7,267.58,1.12
docker,20,2025-04-17T22:01:39.353592+00:00,8.27,6.17,2.1
