deployment-mechanism,trial-number,start-time,wall-time-seconds,inference-time-seconds,overhead-time-seconds
wasm_interpreted,1,2025-04-18T01:25:09.893231+00:00,275.71,274.52,1.19
wasm_interpreted,2,2025-04-18T01:29:45.614729+00:00,273.84000000000003,272.5,1.34
native,1,2025-04-18T01:34:19.472724+00:00,12.34,11.39,0.95
docker,1,2025-04-18T01:34:31.822501+00:00,13.8,11.42,2.38
wasm_interpreted,3,2025-04-18T01:34:45.797511+00:00,273.90999999999997,272.6,1.31
docker,2,2025-04-18T01:39:19.717691+00:00,13.51,11.27,2.24
native,2,2025-04-18T01:39:33.381199+00:00,12.94,11.95,0.99
wasm_aot,1,2025-04-18T01:39:46.333372+00:00,14.1,12.86,1.24
native,3,2025-04-18T01:40:00.440259+00:00,13.45,12.33,1.12
wasm_interpreted,4,2025-04-18T01:40:13.906315+00:00,274.31,272.85,1.46
wasm_aot,2,2025-04-18T01:44:48.231091+00:00,13.29,12.19,1.1
wasm_aot,3,2025-04-18T01:45:01.532878+00:00,13.75,12.58,1.17
wasm_aot,4,2025-04-18T01:45:15.289935+00:00,14.01,12.79,1.22
wasm_interpreted,5,2025-04-18T01:45:29.310659+00:00,274.19,272.75,1.44
docker,3,2025-04-18T01:50:03.509295+00:00,13.49,11.27,2.22
wasm_aot,5,2025-04-18T01:50:17.177506+00:00,13.54,12.42,1.12
wasm_interpreted,6,2025-04-18T01:50:30.729627+00:00,273.94,272.55,1.39
docker,4,2025-04-18T01:55:04.681809+00:00,13.53,11.3,2.23
wasm_aot,6,2025-04-18T01:55:18.385879+00:00,13.55,12.42,1.13
native,4,2025-04-18T01:55:31.944796+00:00,13.09,12.02,1.07
docker,5,2025-04-18T01:55:45.042979+00:00,14.65,12.14,2.51
wasm_interpreted,7,2025-04-18T01:55:59.867140+00:00,273.78,272.41,1.37
wasm_interpreted,8,2025-04-18T02:00:33.662633+00:00,274.03,272.78,1.25
wasm_aot,7,2025-04-18T02:05:07.701362+00:00,13.2,12.08,1.12
docker,6,2025-04-18T02:05:20.909852+00:00,13.87,11.52,2.35
wasm_interpreted,9,2025-04-18T02:05:34.932647+00:00,273.87,272.58,1.29
wasm_interpreted,10,2025-04-18T02:10:08.813374+00:00,273.62,272.4,1.22
native,5,2025-04-18T02:14:42.445322+00:00,12.35,11.4,0.95
native,6,2025-04-18T02:14:54.806185+00:00,12.7,11.67,1.03
docker,7,2025-04-18T02:15:07.521871+00:00,14.76,11.61,3.15
native,7,2025-04-18T02:15:22.470844+00:00,12.83,11.9,0.93
docker,8,2025-04-18T02:15:35.315475+00:00,15.66,11.83,3.83
wasm_interpreted,11,2025-04-18T02:15:51.135800+00:00,273.89,272.58,1.31
docker,9,2025-04-18T02:20:25.032845+00:00,13.43,11.18,2.25
native,8,2025-04-18T02:20:38.626824+00:00,12.68,11.69,0.99
wasm_aot,8,2025-04-18T02:20:51.317029+00:00,13.86,12.66,1.2
docker,10,2025-04-18T02:21:05.192453+00:00,14.47,12.02,2.45
wasm_aot,9,2025-04-18T02:21:19.832842+00:00,14.26,13.08,1.18
native,9,2025-04-18T02:21:34.104190+00:00,13.69,12.55,1.14
wasm_aot,10,2025-04-18T02:21:47.805999+00:00,14.64,13.36,1.28
wasm_aot,11,2025-04-18T02:22:02.460939+00:00,14.58,13.3,1.28
wasm_interpreted,12,2025-04-18T02:22:17.051093+00:00,274.65999999999997,273.17,1.49
wasm_aot,12,2025-04-18T02:26:51.724225+00:00,13.22,12.17,1.05
wasm_aot,13,2025-04-18T02:27:04.959811+00:00,13.71,12.54,1.17
docker,11,2025-04-18T02:27:18.682563+00:00,14.38,11.98,2.4
docker,12,2025-04-18T02:27:33.250583+00:00,14.17,11.81,2.36
native,10,2025-04-18T02:27:47.580149+00:00,13.33,12.27,1.06
wasm_aot,14,2025-04-18T02:28:00.921370+00:00,14.53,13.29,1.24
wasm_aot,15,2025-04-18T02:28:15.460444+00:00,14.37,13.09,1.28
wasm_interpreted,13,2025-04-18T02:28:29.844244+00:00,274.33,272.85,1.48
wasm_interpreted,14,2025-04-18T02:33:04.189389+00:00,273.79,272.54,1.25
wasm_aot,16,2025-04-18T02:37:37.988079+00:00,13.1,12.04,1.06
native,11,2025-04-18T02:37:51.101400+00:00,12.61,11.61,1.0
docker,13,2025-04-18T02:38:03.723429+00:00,13.92,11.55,2.37
docker,14,2025-04-18T02:38:17.812372+00:00,14.06,11.7,2.36
wasm_aot,17,2025-04-18T02:38:32.033433+00:00,14.03,12.86,1.17
docker,15,2025-04-18T02:38:46.077161+00:00,14.68,12.19,2.49
wasm_interpreted,15,2025-04-18T02:39:00.930248+00:00,273.94,272.57,1.37
native,12,2025-04-18T02:43:34.882179+00:00,12.3,11.33,0.97
native,13,2025-04-18T02:43:47.200598+00:00,12.82,11.77,1.05
docker,16,2025-04-18T02:44:00.033748+00:00,14.21,11.71,2.5
native,14,2025-04-18T02:44:14.414198+00:00,13.13,12.1,1.03
native,15,2025-04-18T02:44:27.553059+00:00,13.43,12.32,1.11
native,16,2025-04-18T02:44:40.992401+00:00,13.55,12.41,1.14
