deployment-mechanism,trial-number,start-time,wall-time-seconds,inference-time-seconds,overhead-time-seconds
wasm_aot,18,2025-04-18T02:44:54.555118+00:00,14.65,13.38,1.27
wasm_interpreted,16,2025-04-18T02:45:09.218879+00:00,274.54,273.08,1.46
docker,17,2025-04-18T02:49:43.774726+00:00,13.49,11.3,2.19
wasm_aot,19,2025-04-18T02:49:57.423529+00:00,13.56,12.48,1.08
wasm_interpreted,17,2025-04-18T02:50:10.999595+00:00,273.95,272.58,1.37
native,17,2025-04-18T02:54:44.963534+00:00,12.24,11.27,0.97
native,18,2025-04-18T02:54:57.209819+00:00,12.85,11.8,1.05
docker,18,2025-04-18T02:55:10.072610+00:00,14.13,11.71,2.42
docker,19,2025-04-18T02:55:24.377016+00:00,14.27,11.85,2.42
wasm_interpreted,18,2025-04-18T02:55:38.810560+00:00,274.23,272.86,1.37
native,19,2025-04-18T03:00:13.049958+00:00,12.42,11.47,0.95
docker,20,2025-04-18T03:00:25.480873+00:00,13.95,11.6,2.35
wasm_interpreted,19,2025-04-18T03:00:39.594629+00:00,274.05,272.71,1.34
wasm_interpreted,20,2025-04-18T03:05:13.651517+00:00,273.59000000000003,272.36,1.23
native,20,2025-04-18T03:09:47.249913+00:00,12.22,11.3,0.92
wasm_aot,20,2025-04-18T03:09:59.478035+00:00,13.49,12.33,1.16
