deployment-mechanism,trial-number,start-time,wall-time-seconds,inference-time-seconds,overhead-time-seconds
wasm_interpreted,1,2025-04-18T05:01:34.068362+00:00,288.98,287.54,1.44
docker,1,2025-04-18T05:06:23.065605+00:00,28.88,24.21,4.67
native,1,2025-04-18T05:06:52.118117+00:00,23.01,21.77,1.24
docker,2,2025-04-18T05:07:15.136124+00:00,24.79,22.06,2.73
native,2,2025-04-18T05:07:40.095766+00:00,24.31,23.11,1.2
native,3,2025-04-18T05:08:04.414530+00:00,24.37,23.07,1.3
wasm_aot,1,2025-04-18T05:08:28.794201+00:00,26.41,24.9,1.51
native,4,2025-04-18T05:08:55.214918+00:00,27.52,26.25,1.27
docker,3,2025-04-18T05:09:22.742212+00:00,26.34,22.76,3.58
native,5,2025-04-18T05:09:49.271283+00:00,24.91,23.66,1.25
docker,4,2025-04-18T05:10:14.190392+00:00,25.91,23.05,2.86
wasm_interpreted,2,2025-04-18T05:10:40.275084+00:00,285.15,283.16,1.99
native,6,2025-04-18T05:15:25.438664+00:00,23.03,21.86,1.17
docker,5,2025-04-18T05:15:48.491038+00:00,26.39,21.41,4.98
wasm_interpreted,3,2025-04-18T05:16:15.097828+00:00,283.93,282.31,1.62
docker,6,2025-04-18T05:20:59.042665+00:00,26.34,23.71,2.63
wasm_aot,2,2025-04-18T05:21:25.544758+00:00,24.64,23.33,1.31
docker,7,2025-04-18T05:21:50.208097+00:00,27.91,24.51,3.4
native,7,2025-04-18T05:22:18.296965+00:00,24.28,23.07,1.21
docker,8,2025-04-18T05:22:42.586822+00:00,25.57,22.7,2.87
wasm_aot,3,2025-04-18T05:23:08.366203+00:00,26.48,25.03,1.45
native,8,2025-04-18T05:23:34.862906+00:00,27.27,25.93,1.34
docker,9,2025-04-18T05:24:02.149699+00:00,26.99,22.77,4.22
native,9,2025-04-18T05:24:29.324533+00:00,24.82,23.55,1.27
wasm_interpreted,4,2025-04-18T05:24:54.159532+00:00,285.17,283.37,1.8
native,10,2025-04-18T05:29:39.337924+00:00,22.83,21.72,1.11
wasm_aot,4,2025-04-18T05:30:02.185117+00:00,24.92,23.54,1.38
wasm_interpreted,5,2025-04-18T05:30:27.117174+00:00,283.73,282.13,1.6
native,11,2025-04-18T05:35:10.861746+00:00,22.05,20.98,1.07
docker,10,2025-04-18T05:35:32.923760+00:00,25.5,21.22,4.28
wasm_aot,5,2025-04-18T05:35:58.602047+00:00,24.92,23.59,1.33
native,12,2025-04-18T05:36:23.537639+00:00,24.05,22.78,1.27
wasm_aot,6,2025-04-18T05:36:47.603733+00:00,25.86,24.44,1.42
wasm_aot,7,2025-04-18T05:37:13.474548+00:00,26.27,24.77,1.5
docker,11,2025-04-18T05:37:39.759093+00:00,27.25,23.28,3.97
wasm_aot,8,2025-04-18T05:38:07.202665+00:00,26.61,25.19,1.42
docker,12,2025-04-18T05:38:33.829789+00:00,28.66,24.74,3.92
native,13,2025-04-18T05:39:02.676278+00:00,25.03,23.77,1.26
wasm_interpreted,6,2025-04-18T05:39:27.713304+00:00,284.79,283.12,1.67
wasm_interpreted,7,2025-04-18T05:44:12.519244+00:00,286.83,285.29,1.54
docker,13,2025-04-18T05:48:59.357136+00:00,25.48,21.14,4.34
wasm_aot,9,2025-04-18T05:49:25.021253+00:00,28.31,26.92,1.39
wasm_interpreted,8,2025-04-18T05:49:53.344194+00:00,285.1,283.31,1.79
wasm_aot,10,2025-04-18T05:54:38.463734+00:00,25.58,24.16,1.42
wasm_interpreted,9,2025-04-18T05:55:04.064504+00:00,286.13,284.6,1.53
wasm_interpreted,10,2025-04-18T05:59:50.216526+00:00,283.25,281.83,1.42
wasm_interpreted,11,2025-04-18T06:04:33.480526+00:00,283.09000000000003,281.7,1.39
native,14,2025-04-18T06:09:16.581058+00:00,21.84,20.72,1.12
docker,14,2025-04-18T06:09:38.432637+00:00,27.45,20.88,6.57
wasm_interpreted,12,2025-04-18T06:10:06.090568+00:00,283.92,282.25,1.67
wasm_interpreted,13,2025-04-18T06:14:50.027184+00:00,283.96,282.27,1.69
native,15,2025-04-18T06:19:34.011220+00:00,22.17,21.08,1.09
wasm_aot,11,2025-04-18T06:19:56.194961+00:00,24.47,23.14,1.33
wasm_interpreted,14,2025-04-18T06:20:20.680301+00:00,283.9,282.37,1.53
wasm_interpreted,15,2025-04-18T06:25:04.595257+00:00,284.26,282.82,1.44
native,16,2025-04-18T06:29:48.866250+00:00,21.97,20.86,1.11
wasm_aot,12,2025-04-18T06:30:10.852237+00:00,24.68,23.19,1.49
wasm_interpreted,16,2025-04-18T06:30:35.547396+00:00,284.08,282.45,1.63
native,17,2025-04-18T06:35:19.644523+00:00,22.07,20.94,1.13
docker,15,2025-04-18T06:35:41.728112+00:00,26.2,21.2,5.0
native,18,2025-04-18T06:36:08.140621+00:00,23.47,22.32,1.15
wasm_interpreted,17,2025-04-18T06:36:31.623642+00:00,283.88,282.25,1.63
wasm_interpreted,18,2025-04-18T06:41:15.525160+00:00,284.65999999999997,283.16,1.5
docker,16,2025-04-18T06:46:00.198794+00:00,26.3,21.39,4.91
wasm_aot,13,2025-04-18T06:46:26.711684+00:00,24.31,23.01,1.3
docker,17,2025-04-18T06:46:51.038395+00:00,26.78,23.83,2.95
docker,18,2025-04-18T06:47:17.992419+00:00,24.85,22.17,2.68
wasm_aot,14,2025-04-18T06:47:43.020256+00:00,25.96,24.54,1.42
native,19,2025-04-18T06:48:08.997217+00:00,26.53,25.27,1.26
wasm_aot,15,2025-04-18T06:48:35.540333+00:00,26.3,24.77,1.53
wasm_aot,16,2025-04-18T06:49:01.864686+00:00,26.71,25.25,1.46
wasm_aot,17,2025-04-18T06:49:28.586441+00:00,26.71,25.27,1.44
docker,19,2025-04-18T06:49:55.310196+00:00,28.12,22.9,5.22
wasm_interpreted,19,2025-04-18T06:50:23.625104+00:00,284.42,282.79,1.63
wasm_aot,18,2025-04-18T06:55:08.058066+00:00,25.54,24.26,1.28
wasm_interpreted,20,2025-04-18T06:55:33.616799+00:00,284.47,282.9,1.57
wasm_aot,19,2025-04-18T07:00:18.097061+00:00,24.36,23.07,1.29
wasm_aot,20,2025-04-18T07:00:42.471714+00:00,25.0,23.65,1.35
native,20,2025-04-18T07:01:07.482918+00:00,24.05,22.8,1.25
docker,20,2025-04-18T07:01:31.550024+00:00,27.51,21.98,5.53
