deployment-mechanism,trial-number,start-time,wall-time-seconds,inference-time-seconds,overhead-time-seconds
docker,1,2025-04-17T22:01:48.984917+00:00,11.81,9.66,2.15
wasm_aot,1,2025-04-17T22:02:00.941469+00:00,10.24,9.27,0.97
native,1,2025-04-17T22:02:11.196594+00:00,10.05,9.09,0.96
wasm_interpreted,1,2025-04-17T22:02:21.263112+00:00,271.93,270.62,1.31
docker,2,2025-04-17T22:06:53.202736+00:00,11.11,8.99,2.12
wasm_aot,2,2025-04-17T22:07:04.475360+00:00,10.53,9.54,0.99
native,2,2025-04-17T22:07:15.019971+00:00,10.31,9.28,1.03
docker,3,2025-04-17T22:07:25.338316+00:00,11.41,9.07,2.34
wasm_aot,3,2025-04-17T22:07:36.899808+00:00,11.17,10.07,1.1
docker,4,2025-04-17T22:07:48.083732+00:00,11.78,9.41,2.37
wasm_interpreted,2,2025-04-17T22:08:00.029311+00:00,271.38,270.07,1.31
wasm_interpreted,3,2025-04-17T22:12:31.422623+00:00,271.43,270.29,1.14
docker,5,2025-04-17T22:17:02.860711+00:00,10.7,8.56,2.14
native,3,2025-04-17T22:17:13.716029+00:00,9.94,9.05,0.89
wasm_aot,4,2025-04-17T22:17:23.666552+00:00,10.74,9.65,1.09
native,4,2025-04-17T22:17:34.417627+00:00,10.26,9.25,1.01
native,5,2025-04-17T22:17:44.690456+00:00,10.46,9.44,1.02
wasm_aot,5,2025-04-17T22:17:55.162508+00:00,11.07,9.92,1.15
wasm_aot,6,2025-04-17T22:18:06.248747+00:00,11.21,10.06,1.15
wasm_aot,7,2025-04-17T22:18:17.470763+00:00,11.24,10.08,1.16
native,6,2025-04-17T22:18:28.724596+00:00,10.79,9.71,1.08
wasm_interpreted,4,2025-04-17T22:18:39.526230+00:00,271.5,270.12,1.38
native,7,2025-04-17T22:23:11.033904+00:00,9.74,8.86,0.88
wasm_interpreted,5,2025-04-17T22:23:20.782756+00:00,271.33,270.09,1.24
wasm_aot,8,2025-04-17T22:27:52.120056+00:00,10.24,9.28,0.96
native,8,2025-04-17T22:28:02.367655+00:00,9.95,9.02,0.93
native,9,2025-04-17T22:28:12.328678+00:00,10.02,9.05,0.97
wasm_aot,9,2025-04-17T22:28:22.367395+00:00,10.93,9.78,1.15
docker,6,2025-04-17T22:28:33.311713+00:00,11.74,9.39,2.35
wasm_aot,10,2025-04-17T22:28:45.213877+00:00,10.99,9.86,1.13
wasm_interpreted,6,2025-04-17T22:28:56.219324+00:00,271.69,270.34,1.35
wasm_aot,11,2025-04-17T22:33:27.916591+00:00,10.45,9.49,0.96
wasm_aot,12,2025-04-17T22:33:38.381280+00:00,10.72,9.63,1.09
docker,7,2025-04-17T22:33:49.109693+00:00,11.39,9.08,2.31
wasm_interpreted,7,2025-04-17T22:34:00.658733+00:00,271.35,270.09,1.26
native,10,2025-04-17T22:38:32.019090+00:00,9.56,8.7,0.86
wasm_interpreted,8,2025-04-17T22:38:41.596037+00:00,271.34,270.09,1.25
docker,8,2025-04-17T22:43:12.945648+00:00,11.0,8.86,2.14
wasm_interpreted,9,2025-04-17T22:43:24.102966+00:00,271.23,270.07,1.16
wasm_aot,13,2025-04-17T22:47:55.343423+00:00,10.36,9.4,0.96
wasm_interpreted,10,2025-04-17T22:48:05.709177+00:00,271.44,270.21,1.23
docker,9,2025-04-17T22:52:37.154876+00:00,10.88,8.73,2.15
wasm_interpreted,11,2025-04-17T22:52:48.196620+00:00,271.33,270.17,1.16
wasm_aot,14,2025-04-17T22:57:19.541423+00:00,10.22,9.27,0.95
wasm_aot,15,2025-04-17T22:57:29.776685+00:00,10.65,9.59,1.06
wasm_interpreted,12,2025-04-17T22:57:40.441931+00:00,271.41,270.13,1.28
docker,10,2025-04-17T23:02:11.863672+00:00,10.78,8.67,2.11
docker,11,2025-04-17T23:02:22.792893+00:00,11.05,8.82,2.23
docker,12,2025-04-17T23:02:33.995472+00:00,11.23,8.98,2.25
native,11,2025-04-17T23:02:45.378385+00:00,10.21,9.24,0.97
native,12,2025-04-17T23:02:55.600188+00:00,10.55,9.51,1.04
wasm_interpreted,13,2025-04-17T23:03:06.162218+00:00,271.83,270.47,1.36
wasm_interpreted,14,2025-04-17T23:07:37.998648+00:00,271.38,270.24,1.14
wasm_aot,16,2025-04-17T23:12:09.389389+00:00,10.25,9.29,0.96
docker,13,2025-04-17T23:12:19.654080+00:00,11.06,8.84,2.22
docker,14,2025-04-17T23:12:30.868802+00:00,11.09,8.9,2.19
native,13,2025-04-17T23:12:42.116423+00:00,10.03,9.09,0.94
native,14,2025-04-17T23:12:52.157274+00:00,10.52,9.49,1.03
wasm_interpreted,15,2025-04-17T23:13:02.685863+00:00,271.59,270.29,1.3
docker,15,2025-04-17T23:17:34.291374+00:00,10.75,8.61,2.14
docker,16,2025-04-17T23:17:45.190577+00:00,11.16,8.94,2.22
wasm_interpreted,16,2025-04-17T23:17:56.499342+00:00,271.6,270.39,1.21
native,15,2025-04-17T23:22:28.112571+00:00,9.76,8.89,0.87
wasm_interpreted,17,2025-04-17T23:22:37.884379+00:00,271.46,270.25,1.21
native,16,2025-04-17T23:27:09.359367+00:00,9.46,8.61,0.85
native,17,2025-04-17T23:27:18.826432+00:00,9.83,8.91,0.92
wasm_aot,17,2025-04-17T23:27:28.666879+00:00,10.75,9.65,1.1
wasm_aot,18,2025-04-17T23:27:39.423794+00:00,10.81,9.69,1.12
docker,17,2025-04-17T23:27:50.250271+00:00,11.4,9.07,2.33
native,18,2025-04-17T23:28:01.818800+00:00,10.41,9.42,0.99
wasm_interpreted,18,2025-04-17T23:28:12.239351+00:00,271.92,270.58,1.34
wasm_interpreted,19,2025-04-17T23:32:44.167963+00:00,271.3,270.15,1.15
docker,18,2025-04-17T23:37:15.479994+00:00,10.68,8.52,2.16
wasm_aot,19,2025-04-17T23:37:26.315172+00:00,10.5,9.5,1.0
wasm_interpreted,20,2025-04-17T23:37:36.826561+00:00,271.67,270.4,1.27
wasm_aot,20,2025-04-17T23:42:08.504448+00:00,10.4,9.43,0.97
native,19,2025-04-17T23:42:18.910843+00:00,9.95,9.02,0.93
docker,19,2025-04-17T23:42:28.871019+00:00,11.28,8.99,2.29
docker,20,2025-04-17T23:42:40.313384+00:00,11.3,8.99,2.31
native,20,2025-04-17T23:42:51.755512+00:00,10.22,9.26,0.96
