deployment-mechanism,trial-number,start-time,wall-time-seconds,inference-time-seconds,overhead-time-seconds
docker,1,2025-04-18T03:10:14.455534+00:00,20.65,18.38,2.27
docker,2,2025-04-18T03:10:35.433095+00:00,18.38,15.93,2.45
docker,3,2025-04-18T03:10:53.994189+00:00,18.79,16.19,2.6
native,1,2025-04-18T03:11:12.956607+00:00,19.24,17.73,1.51
wasm_aot,1,2025-04-18T03:11:32.209607+00:00,19.52,18.14,1.38
docker,4,2025-04-18T03:11:51.749077+00:00,22.06,18.21,3.85
wasm_interpreted,1,2025-04-18T03:12:13.982751+00:00,278.6,277.08,1.52
wasm_aot,2,2025-04-18T03:16:52.597651+00:00,19.79,18.63,1.16
wasm_interpreted,2,2025-04-18T03:17:12.398521+00:00,278.23,276.74,1.49
docker,5,2025-04-18T03:21:50.637920+00:00,19.41,15.29,4.12
native,2,2025-04-18T03:22:10.208981+00:00,17.0,15.95,1.05
docker,6,2025-04-18T03:22:27.221722+00:00,18.52,16.02,2.5
wasm_interpreted,3,2025-04-18T03:22:45.903728+00:00,278.46,277.04,1.42
native,3,2025-04-18T03:27:24.371304+00:00,16.84,15.79,1.05
wasm_aot,3,2025-04-18T03:27:41.223038+00:00,18.59,17.23,1.36
docker,7,2025-04-18T03:27:59.823081+00:00,19.74,16.21,3.53
wasm_aot,4,2025-04-18T03:28:19.743591+00:00,18.73,17.48,1.25
docker,8,2025-04-18T03:28:38.481581+00:00,19.78,16.79,2.99
wasm_aot,5,2025-04-18T03:28:58.450940+00:00,19.33,18.05,1.28
docker,9,2025-04-18T03:29:17.795969+00:00,19.59,16.82,2.77
native,4,2025-04-18T03:29:37.561727+00:00,18.8,17.63,1.17
wasm_interpreted,4,2025-04-18T03:29:56.370673+00:00,278.78,277.17,1.61
wasm_interpreted,5,2025-04-18T03:34:35.158406+00:00,278.57,277.2,1.37
wasm_interpreted,6,2025-04-18T03:39:13.745510+00:00,277.84000000000003,276.49,1.35
wasm_interpreted,7,2025-04-18T03:43:51.602952+00:00,277.81,276.49,1.32
native,5,2025-04-18T03:48:29.419960+00:00,16.57,15.56,1.01
wasm_aot,6,2025-04-18T03:48:45.996365+00:00,18.19,16.96,1.23
native,6,2025-04-18T03:49:04.199390+00:00,17.44,16.3,1.14
wasm_interpreted,8,2025-04-18T03:49:21.648068+00:00,278.08,276.61,1.47
wasm_interpreted,9,2025-04-18T03:53:59.741102+00:00,277.77,276.45,1.32
wasm_interpreted,10,2025-04-18T03:58:37.520432+00:00,277.53,276.23,1.3
docker,10,2025-04-18T04:03:15.062306+00:00,17.38,15.02,2.36
wasm_interpreted,11,2025-04-18T04:03:32.622453+00:00,277.77,276.42,1.35
