deployment-mechanism,trial-number,start-time,wall-time-seconds,inference-time-seconds,overhead-time-seconds
docker,11,2025-04-18T04:08:10.398780+00:00,17.35,15.05,2.3
native,7,2025-04-18T04:08:27.909089+00:00,17.06,16.01,1.05
wasm_interpreted,12,2025-04-18T04:08:44.977000+00:00,278.15,276.7,1.45
native,8,2025-04-18T04:13:23.134235+00:00,16.47,15.44,1.03
wasm_interpreted,13,2025-04-18T04:13:39.611735+00:00,278.01,276.58,1.43
wasm_aot,7,2025-04-18T04:18:17.628411+00:00,17.55,16.41,1.14
native,9,2025-04-18T04:18:35.185380+00:00,17.23,16.13,1.1
wasm_interpreted,14,2025-04-18T04:18:52.425772+00:00,278.22,276.76,1.46
wasm_interpreted,15,2025-04-18T04:23:30.660498+00:00,277.71,276.39,1.32
docker,12,2025-04-18T04:28:08.383119+00:00,17.7,15.22,2.48
wasm_aot,8,2025-04-18T04:28:26.260852+00:00,18.08,16.92,1.16
wasm_aot,9,2025-04-18T04:28:44.356083+00:00,18.42,17.16,1.26
docker,13,2025-04-18T04:29:02.786545+00:00,19.04,16.3,2.74
wasm_interpreted,16,2025-04-18T04:29:22.016816+00:00,277.83,276.44,1.39
wasm_aot,10,2025-04-18T04:33:59.859568+00:00,17.46,16.36,1.1
wasm_aot,11,2025-04-18T04:34:17.335283+00:00,18.17,16.97,1.2
wasm_aot,12,2025-04-18T04:34:35.515390+00:00,18.39,17.15,1.24
wasm_interpreted,17,2025-04-18T04:34:53.913920+00:00,277.88,276.41,1.47
docker,14,2025-04-18T04:39:31.801566+00:00,18.41,15.16,3.25
docker,15,2025-04-18T04:39:50.389729+00:00,18.08,15.77,2.31
native,10,2025-04-18T04:40:08.646690+00:00,17.41,16.33,1.08
wasm_aot,13,2025-04-18T04:40:26.067733+00:00,19.04,17.75,1.29
native,11,2025-04-18T04:40:45.120324+00:00,18.16,16.98,1.18
docker,16,2025-04-18T04:41:03.292305+00:00,19.17,16.56,2.61
native,12,2025-04-18T04:41:22.633711+00:00,18.25,17.11,1.14
docker,17,2025-04-18T04:41:40.897848+00:00,19.65,16.98,2.67
native,13,2025-04-18T04:42:00.720790+00:00,18.47,17.32,1.15
native,14,2025-04-18T04:42:19.205000+00:00,18.87,17.65,1.22
docker,18,2025-04-18T04:42:38.088675+00:00,19.84,17.2,2.64
docker,19,2025-04-18T04:42:58.108286+00:00,19.6,16.99,2.61
docker,20,2025-04-18T04:43:17.881514+00:00,19.91,17.28,2.63
wasm_interpreted,18,2025-04-18T04:43:37.968962+00:00,278.45,276.96,1.49
wasm_aot,14,2025-04-18T04:48:16.427344+00:00,17.75,16.62,1.13
native,15,2025-04-18T04:48:34.192697+00:00,17.44,16.32,1.12
wasm_interpreted,19,2025-04-18T04:48:51.650342+00:00,278.09000000000003,276.59,1.5
wasm_aot,15,2025-04-18T04:53:29.759018+00:00,17.49,16.34,1.15
wasm_aot,16,2025-04-18T04:53:47.261113+00:00,18.29,17.08,1.21
wasm_aot,17,2025-04-18T04:54:05.567626+00:00,18.85,17.54,1.31
wasm_aot,18,2025-04-18T04:54:24.427811+00:00,19.06,17.75,1.31
native,16,2025-04-18T04:54:43.498932+00:00,18.23,17.03,1.2
native,17,2025-04-18T04:55:01.744872+00:00,18.54,17.31,1.23
wasm_aot,19,2025-04-18T04:55:20.301291+00:00,19.88,18.48,1.4
wasm_aot,20,2025-04-18T04:55:40.197452+00:00,19.85,18.46,1.39
native,18,2025-04-18T04:56:00.059038+00:00,19.06,17.85,1.21
wasm_interpreted,20,2025-04-18T04:56:19.134539+00:00,278.81,277.22,1.59
native,19,2025-04-18T05:00:57.953572+00:00,16.78,15.75,1.03
native,20,2025-04-18T05:01:14.749648+00:00,17.55,16.41,1.14
